 | Origin Time (GMT)     | Status    |cnt |Mag  |TypeMag |cnt | Lat     | Lon      | Depth  | Remarks
 | 2018-03-26 06:53:08.8 | manual    | 8  | 3.8 | MLv    | 8  | 0.28 S  | 123.36 E | 179 km | Minahassa Peninsula, Sulawesi       
 | 2018-03-26 03:42:06.6 | manual    | 20 | 4.7 | MLv    | 20 | 5.61 S  | 118.27 E | 39 km  | Sulawesi, Indonesia                 
 | 2018-03-26 03:31:37.4 | manual    | 6  | 3.8 | MLv    | 6  | 0.19 N  | 122.50 E | 161 km | Minahassa Peninsula, Sulawesi       
 | 2018-03-25 20:14:48.2 | manual    | 43 | 6.7 | Mw(mB) | 41 | 6.77 S  | 129.83 E | 180 km | Banda Sea                           
 | 2018-03-25 15:24:29.9 | manual    | 12 | 4.7 | MLv    | 11 | 6.99 S  | 129.33 E | 202 km | Banda Sea                           
 | 2018-03-25 14:44:43.2 | manual    | 11 | 5.4 | mb     | 10 | 17.71 S | 111.49 E | 10 km  | Northwest of Australia              
 | 2018-03-25 14:38:17.1 | manual    | 40 | 5.5 | mb     | 40 | 26.97 N | 137.29 E | 58 km  | Bonin Islands, Japan Region         
 | 2018-03-25 12:45:48.7 | manual    | 7  | 3.3 | MLv    | 5  | 0.49 S  | 122.84 E | 10 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-25 12:18:41.5 | manual    | 10 | 4.1 | MLv    | 9  | 1.03 N  | 122.74 E | 16 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-25 08:58:11.7 | manual    | 44 | 5.7 | Mw(mB) | 33 | 7.54 S  | 128.63 E | 157 km | Banda Sea                           
 | 2018-03-25 07:41:49.4 | manual    | 7  | 3.2 | MLv    | 5  | 2.31 S  | 118.71 E | 7 km   | Sulawesi, Indonesia                 
 | 2018-03-25 01:18:26.1 | manual    | 9  | 3.9 | MLv    | 9  | 0.09 N  | 126.69 E | 35 km  | Northern Molucca Sea                
 | 2018-03-24 19:58:30.6 | manual    | 29 | 5.4 | mb     | 29 | 46.41 S | 96.67 E  | 0 km   | Southeast Indian Ridge              
 | 2018-03-24 18:59:06.3 | manual    | 14 | 5.1 | mb     | 14 | 17.51 N | 121.58 E | 256 km | Luzon, Philippines                  
 | 2018-03-24 12:02:03.5 | manual    | 8  | 4.4 | MLv    | 8  | 8.71 S  | 118.29 E | 98 km  | Sumbawa Region, Indonesia           
 | 2018-03-24 11:23:38.8 | manual    | 51 | 6.3 | Mw(mB) | 47 | 5.60 S  | 151.48 E | 110 km | New Britain Region, P.N.G.          
 | 2018-03-24 10:34:42.9 | manual    | 16 | 5.1 | mb     | 15 | 9.96 N  | 125.87 E | 54 km  | Mindanao, Philippines               
 | 2018-03-24 09:15:24.3 | manual    | 8  | 4.6 | MLv    | 8  | 0.94 S  | 125.20 E | 10 km  | Southern Molucca Sea                
 | 2018-03-24 04:42:00.8 | manual    | 6  | 4.1 | MLv    | 6  | 0.69 N  | 123.48 E | 79 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-24 02:50:09.6 | manual    | 5  | 3.3 | MLv    | 5  | 1.17 S  | 119.83 E | 10 km  | Sulawesi, Indonesia                 
 | 2018-03-23 11:52:46.1 | manual    | 33 | 5.2 | mb     | 30 | 6.13 S  | 142.58 E | 37 km  | New Guinea, Papua New Guinea        
 | 2018-03-23 10:41:30.3 | manual    | 7  | 4.8 | MLv    | 7  | 5.54 N  | 126.46 E | 10 km  | Mindanao, Philippines               
 | 2018-03-23 10:32:22.4 | manual    | 7  | 3.3 | MLv    | 4  | 0.75 S  | 123.06 E | 26 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-23 10:19:04.4 | manual    | 10 | 5.2 | mb     | 6  | 4.79 N  | 126.91 E | 10 km  | Talaud Islands, Indonesia           
 | 2018-03-22 23:38:03.8 | manual    | 9  | 4.1 | MLv    | 9  | 0.27 N  | 126.13 E | 10 km  | Northern Molucca Sea                
 | 2018-03-22 23:23:25.4 | manual    | 7  | 4.5 | mb     | 4  | 5.87 S  | 142.74 E | 285 km | New Guinea, Papua New Guinea        
 | 2018-03-22 22:42:45.6 | manual    | 5  | 3.2 | MLv    | 4  | 0.27 S  | 123.57 E | 73 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-22 14:11:12.5 | manual    | 4  | 2.9 | MLv    | 4  | 1.01 N  | 121.40 E | 84 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-22 13:21:05.2 | manual    | 5  | 3.1 | MLv    | 5  | 0.19 N  | 122.51 E | 77 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-22 11:20:33.1 | manual    | 6  | 3.4 | MLv    | 6  | 1.30 N  | 122.34 E | 217 km | Minahassa Peninsula, Sulawesi       
 | 2018-03-22 10:05:31.9 | manual    | 5  | 3.1 | MLv    | 5  | 0.16 S  | 122.88 E | 10 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-22 04:05:35.8 | manual    | 7  | 3.5 | MLv    | 4  | 0.30 S  | 122.84 E | 94 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-22 03:40:55.2 | manual    | 17 | 4.3 | MLv    | 10 | 3.27 S  | 131.13 E | 31 km  | Irian Jaya Region, Indonesia        
 | 2018-03-22 02:46:30.9 | manual    | 40 | 4.9 | mb     | 25 | 0.30 N  | 126.16 E | 29 km  | Northern Molucca Sea                
 | 2018-03-22 02:31:08.2 | manual    | 11 | 4.5 | MLv    | 8  | 6.36 S  | 131.01 E | 165 km | Tanimbar Islands Reg., Indonesia    
 | 2018-03-22 00:08:01.4 | manual    | 41 | 5.3 | mb     | 36 | 4.52 S  | 102.68 E | 73 km  | Southern Sumatra, Indonesia         
 | 2018-03-21 16:22:27.5 | manual    | 19 | 4.4 | MLv    | 15 | 1.44 N  | 127.84 E | 9 km   | Halmahera, Indonesia                
 | 2018-03-21 15:33:26.1 | manual    | 16 | 5.3 | mb     | 13 | 2.79 N  | 130.43 E | 53 km  | Irian Jaya Region, Indonesia        
 | 2018-03-21 08:00:29.7 | manual    | 23 | 4.6 | mb     | 21 | 5.69 S  | 142.42 E | 198 km | New Guinea, Papua New Guinea        
 | 2018-03-21 04:02:49.2 | manual    | 9  | 3.9 | MLv    | 9  | 0.27 S  | 125.30 E | 10 km  | Southern Molucca Sea                
 | 2018-03-21 03:51:43.2 | manual    | 8  | 4.0 | MLv    | 8  | 3.12 N  | 125.67 E | 10 km  | Talaud Islands, Indonesia           
 | 2018-03-21 03:40:04.8 | manual    | 8  | 3.6 | MLv    | 8  | 0.34 N  | 126.01 E | 17 km  | Northern Molucca Sea                
 | 2018-03-21 03:24:09.4 | manual    | 11 | 4.1 | MLv    | 11 | 1.32 N  | 126.21 E | 24 km  | Northern Molucca Sea                
 | 2018-03-21 02:16:26.2 | manual    | 5  | 3.6 | MLv    | 5  | 2.81 S  | 121.17 E | 25 km  | Sulawesi, Indonesia                 
 | 2018-03-20 23:51:40.9 | manual    | 35 | 5.0 | mb     | 32 | 3.18 S  | 139.77 E | 31 km  | Irian Jaya, Indonesia               
 | 2018-03-20 14:07:18.3 | manual    | 4  | 3.3 | MLv    | 4  | 1.51 S  | 119.47 E | 10 km  | Sulawesi, Indonesia                 
 | 2018-03-20 13:56:00.6 | manual    | 9  | 4.4 | MLv    | 9  | 1.53 S  | 119.51 E | 10 km  | Sulawesi, Indonesia                 
 | 2018-03-20 13:53:51.7 | manual    | 7  | 3.6 | MLv    | 7  | 0.25 S  | 125.18 E | 10 km  | Southern Molucca Sea                
 | 2018-03-20 13:44:04.9 | manual    | 6  | 4.4 | MLv    | 6  | 5.35 N  | 126.39 E | 10 km  | Mindanao, Philippines               
 | 2018-03-20 12:58:22.6 | manual    | 12 | 5.2 | mb     | 11 | 4.90 S  | 132.47 E | 10 km  | Irian Jaya Region, Indonesia        
 | 2018-03-20 11:10:44.9 | manual    | 39 | 4.8 | mb     | 37 | 6.66 N  | 123.68 E | 607 km | Mindanao, Philippines               
 | 2018-03-19 20:45:27.3 | manual    | 7  | 3.4 | MLv    | 6  | 2.90 S  | 130.14 E | 10 km  | Seram, Indonesia                    
 | 2018-03-19 20:28:42.1 | manual    | 5  | 3.1 | MLv    | 4  | 0.31 S  | 125.24 E | 10 km  | Southern Molucca Sea                
 | 2018-03-19 18:40:03.6 | manual    | 7  | 3.4 | MLv    | 4  | 0.84 N  | 122.49 E | 16 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-19 15:18:51.6 | manual    | 9  | 4.6 | MLv    | 9  | 7.72 S  | 127.58 E | 189 km | Banda Sea                           
