 | Origin Time (GMT)     | Status    |cnt |Mag  |TypeMag |cnt | Lat     | Lon      | Depth  | Remarks
 | 2018-03-08 20:09:55.7 | manual    | 4  | 2.7 | MLv    | 4  | 1.22 N  | 123.13 E | 10 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-08 17:39:58.9 | manual    | 42 | 6.8 | Mw(mB) | 42 | 4.45 S  | 153.24 E | 94 km  | New Ireland Region, P.N.G.          
 | 2018-03-08 14:18:30.6 | manual    | 5  | 2.9 | MLv    | 5  | 0.31 N  | 122.04 E | 167 km | Minahassa Peninsula, Sulawesi       
 | 2018-03-08 13:06:03.8 | manual    | 42 | 5.1 | Mw(mB) | 30 | 6.88 N  | 116.60 E | 10 km  | Borneo                              
 | 2018-03-08 11:24:57.6 | manual    | 8  | 4.5 | MLv    | 8  | 3.18 S  | 130.87 E | 10 km  | Seram, Indonesia                    
 | 2018-03-08 11:14:26.5 | manual    | 6  | 3.0 | MLv    | 5  | 3.39 S  | 118.95 E | 10 km  | Sulawesi, Indonesia                 
 | 2018-03-08 08:50:18.5 | manual    | 17 | 5.4 | mb     | 17 | 16.70 S | 37.11 E  | 217 km | Mozambique                          
 | 2018-03-08 07:34:21.2 | manual    | 9  | 3.3 | MLv    | 9  | 0.94 S  | 123.99 E | 22 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-08 05:58:43.5 | manual    | 48 | 5.7 | mb     | 45 | 28.99 N | 142.00 E | 27 km  | Bonin Islands, Japan Region         
 | 2018-03-08 04:58:42.1 | manual    | 15 | 4.4 | MLv    | 9  | 3.50 S  | 131.10 E | 439 km | Irian Jaya Region, Indonesia        
 | 2018-03-08 04:35:06.5 | manual    | 10 | 4.3 | MLv    | 9  | 3.19 S  | 130.88 E | 111 km | Seram, Indonesia                    
 | 2018-03-08 04:01:37.7 | manual    | 20 | 4.9 | mb     | 13 | 4.12 S  | 131.62 E | 88 km  | Banda Sea                           
 | 2018-03-08 03:51:11.5 | manual    | 45 | 5.7 | mb     | 37 | 3.19 S  | 130.90 E | 44 km  | Seram, Indonesia                    
 | 2018-03-08 03:33:55.5 | manual    | 13 | 5.4 | MLv    | 9  | 3.23 S  | 131.00 E | 10 km  | Irian Jaya Region, Indonesia        
 | 2018-03-07 17:15:41.2 | manual    | 12 | 4.3 | mb     | 12 | 6.53 N  | 126.83 E | 127 km | Mindanao, Philippines               
 | 2018-03-07 16:24:51.4 | manual    | 6  | 3.1 | MLv    | 5  | 0.28 S  | 122.86 E | 51 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-07 15:34:35.3 | manual    | 15 | 5.2 | MLv    | 14 | 3.05 N  | 127.44 E | 10 km  | Talaud Islands, Indonesia           
 | 2018-03-07 13:49:29.7 | manual    | 15 | 5.5 | mb     | 15 | 5.65 S  | 150.76 E | 108 km | New Britain Region, P.N.G.          
 | 2018-03-07 13:35:55.8 | manual    | 5  | 2.5 | MLv    | 4  | 0.31 S  | 122.42 E | 10 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-07 10:39:11.9 | manual    | 40 | 5.7 | mb     | 39 | 18.46 N | 145.89 E | 111 km | Mariana Islands                     
 | 2018-03-07 07:36:55.8 | manual    | 5  | 5.1 | MLv    | 4  | 5.88 S  | 143.32 E | 10 km  | New Guinea, Papua New Guinea        
 | 2018-03-07 06:55:11.8 | manual    | 18 | 4.6 | MLv    | 15 | 8.30 S  | 119.75 E | 133 km | Flores Region, Indonesia            
 | 2018-03-07 04:40:05.3 | manual    | 26 | 5.7 | mb     | 25 | 46.90 N | 152.66 E | 45 km  | Kuril Islands                       
 | 2018-03-07 04:01:00.7 | manual    | 18 | 4.5 | MLv    | 14 | 2.42 S  | 128.80 E | 0 km   | Ceram Sea                           
 | 2018-03-07 02:37:48.1 | manual    | 7  | 3.5 | MLv    | 6  | 8.33 S  | 115.63 E | 10 km  | Bali Region, Indonesia              
 | 2018-03-07 00:41:14.7 | manual    | 7  | 3.3 | MLv    | 7  | 0.30 N  | 122.27 E | 86 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-06 17:32:52.6 | manual    | 35 | 4.9 | mb     | 33 | 6.50 S  | 143.39 E | 116 km | New Guinea, Papua New Guinea        
 | 2018-03-06 14:40:10.2 | manual    | 28 | 5.0 | mb     | 22 | 5.69 S  | 143.35 E | 48 km  | New Guinea, Papua New Guinea        
 | 2018-03-06 14:13:06.8 | manual    | 50 | 6.6 | Mw(mB) | 45 | 6.33 S  | 142.55 E | 7 km   | New Guinea, Papua New Guinea        
 | 2018-03-06 12:01:28.2 | manual    | 32 | 4.9 | mb     | 29 | 5.92 S  | 143.09 E | 63 km  | New Guinea, Papua New Guinea        
 | 2018-03-06 07:57:35.8 | manual    | 6  | 3.2 | MLv    | 6  | 2.44 S  | 119.64 E | 10 km  | Sulawesi, Indonesia                 
 | 2018-03-06 07:24:12.9 | manual    | 5  | 2.8 | MLv    | 5  | 3.78 S  | 119.38 E | 10 km  | Sulawesi, Indonesia                 
 | 2018-03-06 05:27:00.5 | manual    | 10 | 5.1 | mb     | 10 | 18.27 S | 108.62 E | 121 km | Northwest of Australia              
 | 2018-03-06 03:26:46.7 | manual    | 41 | 5.2 | mb     | 38 | 6.16 S  | 142.55 E | 10 km  | New Guinea, Papua New Guinea        
 | 2018-03-06 02:52:40.5 | manual    | 45 | 5.0 | mb     | 42 | 6.09 S  | 142.57 E | 69 km  | New Guinea, Papua New Guinea        
 | 2018-03-06 02:45:43.7 | manual    | 5  | 3.2 | MLv    | 5  | 0.94 N  | 126.59 E | 43 km  | Northern Molucca Sea                
 | 2018-03-06 02:10:10.5 | manual    | 9  | 2.7 | MLv    | 9  | 8.49 S  | 112.69 E | 22 km  | Java, Indonesia                     
 | 2018-03-06 01:51:52.6 | manual    | 14 | 4.4 | MLv    | 14 | 0.27 N  | 121.87 E | 210 km | Minahassa Peninsula, Sulawesi       
 | 2018-03-06 01:22:17.8 | manual    | 13 | 3.8 | MLv    | 13 | 3.62 S  | 127.20 E | 74 km  | Seram, Indonesia                    
 | 2018-03-05 23:19:49.2 | manual    | 15 | 4.1 | MLv    | 15 | 1.60 N  | 126.32 E | 12 km  | Northern Molucca Sea                
 | 2018-03-05 23:18:26.6 | manual    | 10 | 3.5 | MLv    | 10 | 0.02 S  | 122.97 E | 94 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-05 06:02:33.1 | manual    | 32 | 5.2 | mb     | 32 | 5.15 S  | 154.49 E | 156 km | Solomon Islands                     
 | 2018-03-05 06:01:41.5 | manual    | 12 | 4.6 | MLv    | 10 | 5.23 N  | 126.48 E | 264 km | Mindanao, Philippines               
 | 2018-03-05 06:01:32.6 | manual    | 8  | 5.5 | mb     | 8  | 5.83 S  | 160.41 E | 63 km  | Solomon Islands                     
 | 2018-03-05 02:46:01.4 | manual    | 6  | 3.4 | MLv    | 6  | 3.77 S  | 129.60 E | 10 km  | Seram, Indonesia                    
 | 2018-03-04 22:18:58.8 | manual    | 5  | 4.0 | MLv    | 5  | 5.75 S  | 127.47 E | 10 km  | Banda Sea                           
 | 2018-03-04 20:40:41.2 | manual    | 22 | 5.0 | mb     | 18 | 1.70 S  | 135.83 E | 10 km  | Irian Jaya Region, Indonesia        
 | 2018-03-04 19:56:18.7 | manual    | 37 | 5.6 | Mw(mB) | 32 | 6.26 S  | 142.68 E | 10 km  | New Guinea, Papua New Guinea        
 | 2018-03-04 16:02:50.6 | manual    | 5  | 3.3 | MLv    | 4  | 0.33 N  | 121.99 E | 149 km | Minahassa Peninsula, Sulawesi       
 | 2018-03-04 15:41:15.6 | manual    | 10 | 4.2 | MLv    | 10 | 4.22 N  | 127.05 E | 10 km  | Talaud Islands, Indonesia           
 | 2018-03-04 14:47:21.2 | manual    | 11 | 4.4 | MLv    | 11 | 0.31 N  | 127.11 E | 115 km | Halmahera, Indonesia                
 | 2018-03-04 14:33:21.4 | manual    | 32 | 5.4 | mb     | 29 | 5.94 S  | 142.89 E | 10 km  | New Guinea, Papua New Guinea        
 | 2018-03-04 12:52:22.9 | manual    | 7  | 3.7 | MLv    | 5  | 0.17 S  | 122.91 E | 121 km | Minahassa Peninsula, Sulawesi       
 | 2018-03-04 12:40:02.8 | manual    | 31 | 5.2 | mb     | 29 | 6.16 S  | 142.76 E | 22 km  | New Guinea, Papua New Guinea        
 | 2018-03-04 11:44:30.9 | manual    | 29 | 5.0 | mb     | 27 | 6.34 S  | 143.12 E | 55 km  | New Guinea, Papua New Guinea        
 | 2018-03-04 03:48:57.6 | manual    | 7  | 4.0 | MLv    | 7  | 0.58 S  | 123.12 E | 73 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-04 03:24:15.9 | manual    | 7  | 3.7 | MLv    | 7  | 0.60 S  | 123.11 E | 24 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-04 03:10:38.9 | manual    | 36 | 5.7 | mb     | 23 | 0.66 S  | 123.24 E | 16 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-03 23:01:02.5 | manual    | 42 | 4.8 | mb     | 40 | 6.62 S  | 143.45 E | 41 km  | New Guinea, Papua New Guinea        
 | 2018-03-03 20:43:45.7 | manual    | 5  | 3.3 | MLv    | 5  | 1.37 N  | 123.17 E | 130 km | Minahassa Peninsula, Sulawesi       
 | 2018-03-03 18:56:59.8 | manual    | 5  | 3.1 | MLv    | 5  | 0.12 S  | 123.09 E | 9 km   | Minahassa Peninsula, Sulawesi       
 | 2018-03-03 18:12:55.8 | manual    | 41 | 4.9 | mb     | 28 | 0.57 N  | 126.18 E | 20 km  | Northern Molucca Sea                
 | 2018-03-03 18:08:48.5 | manual    | 24 | 4.5 | MLv    | 17 | 1.77 N  | 127.36 E | 61 km  | Halmahera, Indonesia                
 | 2018-03-03 18:00:56.8 | manual    | 9  | 3.8 | MLv    | 9  | 0.33 S  | 123.69 E | 88 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-03 06:34:42.8 | manual    | 5  | 4.3 | MLv    | 5  | 0.94 N  | 122.51 E | 10 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-03 06:26:35.5 | manual    | 13 | 4.9 | mb     | 11 | 6.35 S  | 143.03 E | 18 km  | New Guinea, Papua New Guinea        
 | 2018-03-03 04:27:54.9 | manual    | 10 | 3.4 | MLv    | 7  | 2.06 S  | 119.69 E | 10 km  | Sulawesi, Indonesia                 
 | 2018-03-03 02:52:45.9 | manual    | 10 | 4.3 | MLv    | 9  | 8.14 S  | 115.64 E | 10 km  | Bali Region, Indonesia              
 | 2018-03-02 22:38:48.6 | manual    | 21 | 4.9 | mb     | 19 | 6.24 S  | 143.05 E | 10 km  | New Guinea, Papua New Guinea        
 | 2018-03-02 21:30:58.7 | manual    | 21 | 5.2 | mb     | 19 | 5.75 S  | 143.42 E | 46 km  | New Guinea, Papua New Guinea        
 | 2018-03-02 21:04:17.3 | manual    | 14 | 4.9 | mb     | 14 | 0.59 N  | 98.49 E  | 156 km | Northern Sumatra, Indonesia         
 | 2018-03-02 20:47:42.5 | manual    | 8  | 3.6 | MLv    | 8  | 0.34 S  | 125.26 E | 10 km  | Southern Molucca Sea                
 | 2018-03-02 14:21:39.8 | manual    | 5  | 4.7 | MLv    | 4  | 6.72 S  | 130.17 E | 151 km | Banda Sea                           
 | 2018-03-02 12:48:36.8 | manual    | 5  | 2.5 | MLv    | 4  | 0.06 S  | 123.17 E | 10 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-02 11:40:48.3 | manual    | 6  | 3.1 | MLv    | 5  | 0.38 S  | 122.76 E | 10 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-02 07:59:03.6 | manual    | 44 | 5.0 | mb     | 42 | 5.88 S  | 142.71 E | 20 km  | New Guinea, Papua New Guinea        
 | 2018-03-02 04:37:14.3 | manual    | 6  | 4.1 | MLv    | 6  | 3.66 S  | 132.23 E | 10 km  | Irian Jaya Region, Indonesia        
 | 2018-03-02 03:42:12.7 | manual    | 7  | 5.0 | mb     | 7  | 25.37 N | 123.10 E | 10 km  | Northeast of Taiwan                 
 | 2018-03-02 03:01:20.5 | manual    | 21 | 5.4 | mb     | 19 | 6.10 S  | 142.51 E | 10 km  | New Guinea, Papua New Guinea        
 | 2018-03-02 02:20:12.9 | manual    | 41 | 6.2 | Mw(mB) | 37 | 6.21 S  | 130.41 E | 147 km | Banda Sea                           
 | 2018-03-02 01:32:37.4 | manual    | 7  | 3.6 | MLv    | 7  | 0.81 S  | 120.71 E | 10 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-02 01:11:41.3 | manual    | 10 | 4.2 | MLv    | 10 | 2.92 S  | 130.52 E | 7 km   | Seram, Indonesia                    
 | 2018-03-02 00:57:09.8 | manual    | 30 | 5.0 | mb     | 28 | 6.03 S  | 142.91 E | 10 km  | New Guinea, Papua New Guinea        
 | 2018-03-02 00:44:58.8 | manual    | 10 | 3.7 | MLv    | 10 | 9.91 S  | 112.67 E | 11 km  | South of Java, Indonesia            
 | 2018-03-01 23:10:34.4 | manual    | 15 | 4.4 | MLv    | 14 | 0.33 N  | 123.62 E | 165 km | Minahassa Peninsula, Sulawesi       
 | 2018-03-01 13:42:28.3 | manual    | 39 | 5.6 | mb     | 38 | 24.08 N | 123.56 E | 10 km  | Southwestern Ryukyu Islands, Japan  
 | 2018-03-01 06:44:21.5 | manual    | 10 | 3.9 | MLv    | 10 | 0.54 S  | 120.67 E | 28 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-01 06:37:23.3 | manual    | 10 | 3.8 | MLv    | 9  | 0.09 S  | 120.31 E | 12 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-01 06:11:10.5 | manual    | 11 | 4.5 | MLv    | 11 | 0.16 S  | 120.00 E | 10 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-01 05:54:48.9 | manual    | 10 | 4.4 | MLv    | 9  | 0.08 S  | 119.84 E | 15 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-01 05:30:29.9 | manual    | 10 | 4.2 | MLv    | 10 | 0.10 S  | 119.83 E | 25 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-01 05:26:48.5 | manual    | 12 | 4.3 | MLv    | 12 | 0.20 S  | 120.04 E | 8 km   | Minahassa Peninsula, Sulawesi       
 | 2018-03-01 05:14:27.3 | manual    | 11 | 4.9 | MLv    | 10 | 0.11 S  | 119.79 E | 36 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-01 03:17:07.7 | manual    | 20 | 4.9 | mb     | 17 | 5.82 S  | 142.91 E | 10 km  | New Guinea, Papua New Guinea        
 | 2018-03-01 03:16:59.4 | manual    | 46 | 5.6 | Mw(mB) | 31 | 1.00 N  | 98.09 E  | 67 km  | Northern Sumatra, Indonesia         
 | 2018-03-01 01:35:41.5 | manual    | 48 | 5.7 | mb     | 46 | 1.10 N  | 98.03 E  | 76 km  | Northern Sumatra, Indonesia         
 | 2018-03-01 01:02:09.9 | manual    | 6  | 3.5 | MLv    | 6  | 2.85 S  | 127.52 E | 10 km  | Ceram Sea                           
 | 2018-03-01 00:59:55.2 | manual    | 8  | 3.0 | MLv    | 5  | 8.16 S  | 114.64 E | 10 km  | Bali Region, Indonesia              

